,Company,Ticker
485,Gayatri Projects Limited,GAYAPROJ.NS
486,GB Global Limited,GBGLOBAL.NS
487,Gateway Distriparks Limited,GDL.NS
488,GeeCee Ventures Limited,GEECEE.NS
489,Geekay Wires Limited,GEEKAYWIRE.NS
490,Genesys International Corporation Limited,GENESYS.NS
491,Genus Paper & Boards Limited,GENUSPAPER.NS
492,Genus Power Infrastructures Limited,GENUSPOWER.NS
493,Geojit Financial Services Limited,GEOJITFSL.NS
494,GE Power India Limited,GEPIL.NS
495,The Great Eastern Shipping Company Limited,GESHIP.NS
496,GE T&D India Limited,GET&D.NS
497,GFL Limited,GFLLIMITED.NS
498,Grand Foundry Limited,GFSTEELS.NS
499,GHCL Limited,GHCL.NS
500,GIC Housing Finance Limited,GICHSGFIN.NS
501,General Insurance Corporation of India,GICRE.NS
502,Gillanders Arbuthnot & Company Limited,GILLANDERS.NS
503,Gillette India Limited,GILLETTE.NS
504,Ginni Filaments Limited,GINNIFILA.NS
505,Gujarat Industries Power Company Limited,GIPCL.NS
506,GI Engineering Solutions Limited,GISOLUTION.NS
507,GKW Limited,GKWLIMITED.NS
508,Gland Pharma Limited,GLAND.NS
509,GlaxoSmithKline Pharmaceuticals Limited,GLAXO.NS
510,Glenmark Pharmaceuticals Limited,GLENMARK.NS
511,Gujarat Lease Financing Limited,GLFL.NS
512,Global Education Limited,GLOBAL.NS
513,Global Vectra Helicorp Limited,GLOBALVECT.NS
514,Globe Textiles (India) Limited,GLOBE.NS
515,Global Offshore Services Limited,GLOBOFFS.NS
516,Globus Spirits Limited,GLOBUSSPR.NS
517,GM Breweries Limited,GMBREW.NS
518,Gujarat Mineral Development Corporation Limited,GMDCLTD.NS
519,GMM Pfaudler Limited,GMMPFAUDLR.NS
520,GMR Infrastructure Limited,GMRINFRA.NS
521,GNA Axles Limited,GNA.NS
522,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC.NS
523,Goa Carbon Limited,GOACARBON.NS
524,GOCL Corporation Limited,GOCLCORP.NS
525,Godfrey Phillips India Limited,GODFRYPHLP.NS
526,Godha Cabcon & Insulation Limited,GODHA.NS
527,Godrej Agrovet Limited,GODREJAGRO.NS
528,Godrej Consumer Products Limited,GODREJCP.NS
529,Godrej Industries Limited,GODREJIND.NS
530,Godrej Properties Limited,GODREJPROP.NS
531,Goenka Diamond and Jewels Limited,GOENKA.NS
532,Gokaldas Exports Limited,GOKEX.NS
533,Gokul Refoils and Solvent Limited,GOKUL.NS
534,Gokul Agro Resources Limited,GOKULAGRO.NS
535,Golden Tobacco Limited,GOLDENTOBC.NS
536,Goldiam International Limited,GOLDIAM.NS
537,Goldstone Technologies Limited,GOLDTECH.NS
538,Goodluck India Limited,GOODLUCK.NS
539,Goodyear India Limited,GOODYEAR.NS
540,Godawari Power And Ispat limited,GPIL.NS
541,Gujarat Pipavav Port Limited,GPPL.NS
542,GPT Infraprojects Limited,GPTINFRA.NS
543,Granules India Limited,GRANULES.NS
544,Graphite India Limited,GRAPHITE.NS
545,Grasim Industries Limited,GRASIM.NS
546,Gravita India Limited,GRAVITA.NS
547,Greaves Cotton Limited,GREAVESCOT.NS
548,Greenlam Industries Limited,GREENLAM.NS
549,Greenpanel Industries Limited,GREENPANEL.NS
550,Greenply Industries Limited,GREENPLY.NS
551,Orient Green Power Company Limited,GREENPOWER.NS
552,Grindwell Norton Limited,GRINDWELL.NS
